#Constant Temperature fit results; RIPL III discrete level library; March 2020 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  10  17 Ne   3.11998   0.58351   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  18 Ne   2.87507   0.48941  -1.30623   1.06398  22  11   7   8  5.45300  4.59000  2.900E-02       0             1.754
  10  19 Ne   2.66731   0.42986  -2.26965   1.15313  69  27   7   8  6.43700  4.03290  1.082E-02 *     0             2.308
  10  20 Ne   2.49080   0.39156   1.64879   1.22257 233  49   7   6 11.32000  5.78770  3.815E-03 *     0             2.354
  10  21 Ne   2.34094   0.36436  -1.52537   1.33975 153 105   7  13  9.36800  4.72535  3.616E-03 *     0             2.361
  10  22 Ne   2.21414   0.34151   0.55479   1.01269 145  39   7   7  8.59600  5.36340  5.707E-03 *     0             2.169
  10  23 Ne   2.10730   0.31925  -1.40207   0.99613  51  36  13   2  6.09300  1.01695  5.712E-03 *     0             1.650
  10  24 Ne   2.01690   0.29669   1.52269   0.78082  39  24   7   5  8.15000  4.76650  6.840E-03 *     0             2.511
  10  25 Ne   1.93990   0.27421   0.00000   1.00000   9   1   1   1  0.00000  0.00000                  0             0.000
  10  26 Ne   1.87386   0.25278   0.00000   1.00000   7   1   1   2  0.00000  2.01800                  0             0.000
  10  27 Ne   1.81675   0.23370   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  10  28 Ne   1.76682   0.21834   0.00000   1.00000   4   1   1   2  0.00000  1.30400                  0             0.000
  10  29 Ne   1.72257   0.20788   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  10  30 Ne   1.68264   0.20283   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  10  31 Ne   1.64579   0.20267   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  32 Ne   1.61088   0.20582   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  10  33 Ne   1.57680   0.21001   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  34 Ne   1.54256   0.21277   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  17 Na   3.11998   0.58351   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  18 Na   2.87507   0.48941   0.00000   1.00000   5   1   1   5  0.00000  0.83000                  0             0.000
  11  19 Na   2.66731   0.42986   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  11  20 Na   2.49080   0.39156  -3.11874   0.95965  25  19   7   8  4.15000  2.05700  5.029E-02   F   0             1.894
  11  21 Na   2.34094   0.36436  -1.24739   0.99854  63  25   9  11  6.34100  4.29430  5.550E-03 *     0             2.101
  11  22 Na   2.21414   0.34151  -2.19236   1.14447 154  41  19  12  5.99500  3.05940  3.392E-03 *     0             2.236
  11  23 Na   2.10730   0.31925  -0.42333   1.05078 227  65   7  16  8.36000  5.76603  5.492E-03 *     0             2.227
  11  24 Na   2.01690   0.29669  -2.71552   1.07311 139  76  14   4  5.96737  1.34146  4.557E-03 *     0             2.137
  11  25 Na   1.93990   0.27421  -0.89650   0.82487  43  30  13   4  5.74600  2.20200  4.632E-03 *     0             1.692
  11  26 Na   1.87386   0.25278  -3.02862   0.74204  45  25  14   4  2.93780  0.40670  1.122E-02 *     0             2.189
  11  27 Na   1.81675   0.23370  -1.10431   0.58263  32  20   7   1  4.52540  0.00000  1.093E-02 *     0             2.216
  11  28 Na   1.76682   0.21834   0.00000   1.00000   9   1   1   1  0.00000  0.00000                  0             0.000
  11  29 Na   1.72257   0.20788   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  11  30 Na   1.68264   0.20283   0.00000   1.00000   7   1   1   2  0.00000  0.15062                  0             0.000
  11  31 Na   1.64579   0.20267   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  32 Na   1.61088   0.20582   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  11  33 Na   1.57680   0.21001   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  34 Na   1.54256   0.21277   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  35 Na   1.50719   0.21179   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  36 Na   1.47013   0.20563   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  37 Na   1.43189   0.19486   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  19 Mg   2.66731   0.42986   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  12  20 Mg   2.49080   0.39156   0.00000   1.00000   2   1   1   2  0.00000  1.59800                  0             0.000
  12  21 Mg   2.34094   0.36436  -1.81967   0.86627  24  16   7   5  4.53800  1.98900  4.211E-02       0             1.696
  12  22 Mg   2.21414   0.34151  -0.11585   1.06169  93  47   7   5  8.39800  5.03540  1.046E-02 *     0             2.198
  12  23 Mg   2.10730   0.31925  -0.44079   0.85179 100  27   7   4  6.56800  2.35900  1.505E-02 *     0             2.157
  12  24 Mg   2.01690   0.29669   2.95328   0.81419 186  28   7  21  9.53248  9.28422  5.461E-03 *     0             2.418
  12  25 Mg   1.93990   0.27421  -0.75220   0.76649 135  33   7  16  6.16900  4.71160  9.618E-03 *     0             2.579
  12  26 Mg   1.87386   0.25278   0.32753   0.79476 215  53   7   3  8.05240  2.93833  8.635E-03 *     0             2.345
  12  27 Mg   1.81675   0.23370  -0.33793   0.69001  55  35   9   4  6.16100  1.94023  5.435E-03 *     0             1.987
  12  28 Mg   1.76682   0.21834   1.20506   0.51428  25  15   7   8  5.91690  5.17130  4.284E-02       0             1.549
  12  29 Mg   1.72257   0.20788   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  12  30 Mg   1.68264   0.20283   0.00000   1.00000  18   1   1   3  0.00000  1.78820                  0             0.000
  12  31 Mg   1.64579   0.20267   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  12  32 Mg   1.61088   0.20582   0.00000   1.00000  15   1   1   4  0.00000  2.32230                  0             0.000
  12  33 Mg   1.57680   0.21001   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  12  34 Mg   1.54256   0.21277   0.00000   1.00000   3   1   1   2  0.00000  0.66000                  0             0.000
  12  35 Mg   1.50719   0.21179   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
